COLUMN,DESCRIPTION,TYPE,LENGTH,DECIML,RANGEVAL,UNITS,CODE,NOTES,TBLNAME,CRFNAME
TMPINFR02_BAIPETNMRC_09_12_16,Globally normalized CMRgl from Temporal_Inf_L,,,,,Normalized Counts,,Same as for FrtSupL02,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMIDL03_BAIPETNMRC_09_12_16,Frontal_Mid_L,,,,,Normalized Counts,,(1). Included baseline/6 month FDG-PET scan pairs for AD patients after excluding scans with QA/acqu,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMIDR03_BAIPETNMRC_09_12_16,Frontal_Mid_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSUPL03_BAIPETNMRC_09_12_16,Frontal_Sup_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSUPR03_BAIPETNMRC_09_12_16,Frontal_Sup_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSMEDL03_BAIPETNMRC_09_12_16,Frontal_Sup_Medial_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSMEDR03_BAIPETNMRC_09_12_16,Frontal_Sup_Medial_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPSUPL03_BAIPETNMRC_09_12_16,Temporal_Sup_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPSUPR03_BAIPETNMRC_09_12_16,Temporal_Sup_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPMIDL03_BAIPETNMRC_09_12_16,Temporal_Mid_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPMIDR03_BAIPETNMRC_09_12_16,Temporal_Mid_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPINFL03_BAIPETNMRC_09_12_16,Temporal_Inf_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPINFR03_BAIPETNMRC_09_12_16,Temporal_Inf_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FUSFRML03_BAIPETNMRC_09_12_16,Fusiform_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FUSFRMR03_BAIPETNMRC_09_12_16,Fusiform_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
LINGUALL03_BAIPETNMRC_09_12_16,Lingual_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
LINGUALR03_BAIPETNMRC_09_12_16,Lingual_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARAHIPL03_BAIPETNMRC_09_12_16,ParaHippocampal_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARAHIPR03_BAIPETNMRC_09_12_16,ParaHippocampal_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARISUPL03_BAIPETNMRC_09_12_16,Parietal_Sup_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARISUPR03_BAIPETNMRC_09_12_16,Parietal_Sup_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARIINFL03_BAIPETNMRC_09_12_16,Parietal_Inf_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARIINFR03_BAIPETNMRC_09_12_16,Parietal_Inf_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PRECUNL03_BAIPETNMRC_09_12_16,Precuneus_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PRECUNR03_BAIPETNMRC_09_12_16,Precuneus_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGANT03_BAIPETNMRC_09_12_16,Cingulum_Ant,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGMID03_BAIPETNMRC_09_12_16,Cingulum_Mid,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGPST03_BAIPETNMRC_09_12_16,Cingulum_Post,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
ANGULR03_BAIPETNMRC_09_12_16,Angular_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCMIDL03_BAIPETNMRC_09_12_16,Occipital_Mid_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCMIDR03_BAIPETNMRC_09_12_16,Occipital_Mid_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCSUPL03_BAIPETNMRC_09_12_16,Occipital_Sup_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCSUPR03_BAIPETNMRC_09_12_16,Occipital_Sup_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCINFL03_BAIPETNMRC_09_12_16,Occipital_Inf_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCINFR03_BAIPETNMRC_09_12_16,Occipital_Inf_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
THALAML03_BAIPETNMRC_09_12_16,Thalamus_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
THALAMR03_BAIPETNMRC_09_12_16,Thalamus_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMEDL03_BAIPETNMRC_09_12_16,Frontal_Medial_Left,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMEDR03_BAIPETNMRC_09_12_16,Frontal_Medial_Right,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
SUPMRGL03_BAIPETNMRC_09_12_16,SupraMarginal_L,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
SUPMRGR03_BAIPETNMRC_09_12_16,SupraMarginal_R,,,,,Normalized Counts,,same as FrtMidL03,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMIDL04_BAIPETNMRC_09_12_16,Frontal_Mid_L,,,,,Normalized Counts,,(1). Included baseline/6 month FDG-PET scan pairs after excluding scans with QA/acquisition concerns,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMIDR04_BAIPETNMRC_09_12_16,Frontal_Mid_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSUPL04_BAIPETNMRC_09_12_16,Frontal_Sup_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSUPR04_BAIPETNMRC_09_12_16,Frontal_Sup_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSMEDL04_BAIPETNMRC_09_12_16,Frontal_Sup_Medial_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSMEDR04_BAIPETNMRC_09_12_16,Frontal_Sup_Medial_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPSUPL04_BAIPETNMRC_09_12_16,Temporal_Sup_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPSUPR04_BAIPETNMRC_09_12_16,Temporal_Sup_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPMIDL04_BAIPETNMRC_09_12_16,Temporal_Mid_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPMIDR04_BAIPETNMRC_09_12_16,Temporal_Mid_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPINFL04_BAIPETNMRC_09_12_16,Temporal_Inf_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPINFR04_BAIPETNMRC_09_12_16,Temporal_Inf_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FUSFRML04_BAIPETNMRC_09_12_16,Fusiform_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FUSFRMR04_BAIPETNMRC_09_12_16,Fusiform_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
LINGUALL04_BAIPETNMRC_09_12_16,Lingual_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
LINGUALR04_BAIPETNMRC_09_12_16,Lingual_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARAHIPL04_BAIPETNMRC_09_12_16,ParaHippocampal_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARAHIPR04_BAIPETNMRC_09_12_16,ParaHippocampal_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARISUPL04_BAIPETNMRC_09_12_16,Parietal_Sup_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARISUPR04_BAIPETNMRC_09_12_16,Parietal_Sup_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARIINFL04_BAIPETNMRC_09_12_16,Parietal_Inf_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARIINFR04_BAIPETNMRC_09_12_16,Parietal_Inf_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PRECUNL04_BAIPETNMRC_09_12_16,Precuneus_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PRECUNR04_BAIPETNMRC_09_12_16,Precuneus_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGANT04_BAIPETNMRC_09_12_16,Cingulum_Ant,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGMID04_BAIPETNMRC_09_12_16,Cingulum_Mid,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGPST04_BAIPETNMRC_09_12_16,Cingulum_Post,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCMIDL04_BAIPETNMRC_09_12_16,Occipital_Mid_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCMIDR04_BAIPETNMRC_09_12_16,Occipital_Mid_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCSUPL04_BAIPETNMRC_09_12_16,Occipital_Sup_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCSUPR04_BAIPETNMRC_09_12_16,Occipital_Sup_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCINFL04_BAIPETNMRC_09_12_16,Occipital_Inf_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCINFR04_BAIPETNMRC_09_12_16,Occipital_Inf_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
THALAML04_BAIPETNMRC_09_12_16,Thalamus_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
THALAMR04_BAIPETNMRC_09_12_16,Thalamus_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMEDL04_BAIPETNMRC_09_12_16,Frontal_Medial_Left,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMEDR04_BAIPETNMRC_09_12_16,Frontal_Medial_Right,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
SUPMRGL04_BAIPETNMRC_09_12_16,SupraMarginal_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
SUPMRGR04_BAIPETNMRC_09_12_16,SupraMarginal_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
ANGULL04_BAIPETNMRC_09_12_16,Angular_L,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
ANGULR04_BAIPETNMRC_09_12_16,Angular_R,,,,,Normalized Counts,,same as FrtMidL04,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMIDL05_BAIPETNMRC_09_12_16,Frontal_Mid_L,,,,,Normalized Counts,,(1). Included baseline/6 month FDG-PET scan pairs for 101 MCI patients after excluding scans with QA,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMIDR05_BAIPETNMRC_09_12_16,Frontal_Mid_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSUPL05_BAIPETNMRC_09_12_16,Frontal_Sup_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSUPR05_BAIPETNMRC_09_12_16,Frontal_Sup_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSMEDL05_BAIPETNMRC_09_12_16,Frontal_Sup_Medial_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSMEDR05_BAIPETNMRC_09_12_16,Frontal_Sup_Medial_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPSUPL05_BAIPETNMRC_09_12_16,Temporal_Sup_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPSUPR05_BAIPETNMRC_09_12_16,Temporal_Sup_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPMIDL05_BAIPETNMRC_09_12_16,Temporal_Mid_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPMIDR05_BAIPETNMRC_09_12_16,Temporal_Mid_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPINFL05_BAIPETNMRC_09_12_16,Temporal_Inf_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPINFR05_BAIPETNMRC_09_12_16,Temporal_Inf_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FUSFRML05_BAIPETNMRC_09_12_16,Fusiform_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FUSFRMR05_BAIPETNMRC_09_12_16,Fusiform_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARAHIPL05_BAIPETNMRC_09_12_16,ParaHippocampal_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARAHIPR05_BAIPETNMRC_09_12_16,ParaHippocampal_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARISUPL05_BAIPETNMRC_09_12_16,Parietal_Sup_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARISUPR05_BAIPETNMRC_09_12_16,Parietal_Sup_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARIINFL05_BAIPETNMRC_09_12_16,Parietal_Inf_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARIINFR05_BAIPETNMRC_09_12_16,Parietal_Inf_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PRECUNL05_BAIPETNMRC_09_12_16,Precuneus_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PRECUNR05_BAIPETNMRC_09_12_16,Precuneus_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGANT05_BAIPETNMRC_09_12_16,Cingulum_Ant,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGMID05_BAIPETNMRC_09_12_16,Cingulum_Mid,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CINGPST05_BAIPETNMRC_09_12_16,Cingulum_Post,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCMIDL05_BAIPETNMRC_09_12_16,Occipital_Mid_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCMIDR05_BAIPETNMRC_09_12_16,Occipital_Mid_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCSUPL05_BAIPETNMRC_09_12_16,Occipital_Sup_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCSUPR05_BAIPETNMRC_09_12_16,Occipital_Sup_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCINFL05_BAIPETNMRC_09_12_16,Occipital_Inf_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
OCCINFR05_BAIPETNMRC_09_12_16,Occipital_Inf_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
THALAML05_BAIPETNMRC_09_12_16,Thalamus_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
THALAMR05_BAIPETNMRC_09_12_16,Thalamus_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMEDL05_BAIPETNMRC_09_12_16,Frontal_Medial_Left,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMEDR05_BAIPETNMRC_09_12_16,Frontal_Medial_Right,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
ANGULR05_BAIPETNMRC_09_12_16,Angular_Right,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
ANGULL05_BAIPETNMRC_09_12_16,Angular_Left,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CALCARL05_BAIPETNMRC_09_12_16,Calcarine_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CALCARR05_BAIPETNMRC_09_12_16,Calcarine_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
LINGUALL05_BAIPETNMRC_09_12_16,Lingual_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
LINGUALR05_BAIPETNMRC_09_12_16,Lingual_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CEREB8L05_BAIPETNMRC_09_12_16,Cerebelum_8_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CEREB8R05_BAIPETNMRC_09_12_16,Cerebelum_8_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CERBCR2L05_BAIPETNMRC_09_12_16,Cerebelum_Crus2_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
CERBCR2R05_BAIPETNMRC_09_12_16,Cerebelum_Crus2_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
SUPMRGL05_BAIPETNMRC_09_12_16,SupraMarginal_L,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
SUPMRGR05_BAIPETNMRC_09_12_16,SupraMarginal_R,,,,,Normalized Counts,,same as FrtMidL05,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMIDL06_BAIPETNMRC_09_12_16,Frontal_Mid_L,,,,,Normalized Counts,,(1). Included baseline/6 month FDG-PET scan pairs after excluding scans with QA/acquisition concerns,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTMIDR06_BAIPETNMRC_09_12_16,Frontal_Mid_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSUPL06_BAIPETNMRC_09_12_16,Frontal_Sup_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSUPR06_BAIPETNMRC_09_12_16,Frontal_Sup_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSMEDL06_BAIPETNMRC_09_12_16,Frontal_Sup_Medial_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FRTSMEDR06_BAIPETNMRC_09_12_16,Frontal_Sup_Medial_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPSUPL06_BAIPETNMRC_09_12_16,Temporal_Sup_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPSUPR06_BAIPETNMRC_09_12_16,Temporal_Sup_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPMIDL06_BAIPETNMRC_09_12_16,Temporal_Mid_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPMIDR06_BAIPETNMRC_09_12_16,Temporal_Mid_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPINFL06_BAIPETNMRC_09_12_16,Temporal_Inf_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
TMPINFR06_BAIPETNMRC_09_12_16,Temporal_Inf_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FUSFRML06_BAIPETNMRC_09_12_16,Fusiform_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
FUSFRMR06_BAIPETNMRC_09_12_16,Fusiform_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
LINGUALL06_BAIPETNMRC_09_12_16,Lingual_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
LINGUALR06_BAIPETNMRC_09_12_16,Lingual_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARAHIPL06_BAIPETNMRC_09_12_16,ParaHippocampal_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARAHIPR06_BAIPETNMRC_09_12_16,ParaHippocampal_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARISUPL06_BAIPETNMRC_09_12_16,Parietal_Sup_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARISUPR06_BAIPETNMRC_09_12_16,Parietal_Sup_R,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
PARIINFL06_BAIPETNMRC_09_12_16,Parietal_Inf_L,,,,,Normalized Counts,,same as FrtMidL06,BAIPETNMRC,Banner Alzheimer's Institute PET NMRC Summaries
